# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 179
#
# Samples: 33K of event 'cycles'
# Event count (approx.): 25325405346
#
# Overhead  Command          Shared Object                           Symbol                                                      
# ........  ...............  ......................................  ............................................................
#
     0.00%  iperf3           [kernel.kallsyms]                       [k] ironlake_irq_handler
     0.00%  swapper          [kernel.kallsyms]                       [k] __free_pages_ok
     0.00%  iperf3           [kernel.kallsyms]                       [k] pick_next_task_idle
     0.00%  swapper          [kernel.kallsyms]                       [k] cpu_startup_entry
     0.00%  Xorg             libGLdispatch.so.0.0.0                  [.] 0x0000000000042b44
     0.00%  iperf3           [kernel.kallsyms]                       [k] gen6_read32
     0.00%  Xorg             libEGL.so.1.1.0                         [.] eglMakeCurrent
     0.00%  Xorg             [kernel.kallsyms]                       [k] ilk_update_gt_irq
     0.00%  xfce4-terminal   libgdk-3.so.0.2404.6                    [.] 0x000000000004e060
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000e2b7d
     0.00%  iperf3           [kernel.kallsyms]                       [k] run_local_timers
     0.00%  swapper          [kernel.kallsyms]                       [k] __x86_indirect_thunk_rax
     0.00%  iperf3           [kernel.kallsyms]                       [k] update_cfs_rq_h_load
     0.00%  xfwm4            [kernel.kallsyms]                       [k] sock_poll
     0.00%  xfwm4            libxcb.so.1.1.0                         [.] 0x000000000000f901
     0.00%  iperf3           [kernel.kallsyms]                       [k] fib6_walk_continue
     0.00%  iperf3           [kernel.kallsyms]                       [k] find_next_and_bit
     0.00%  iperf3           [kernel.kallsyms]                       [k] __wake_up_sync_key
     0.00%  xfwm4            libdbus-1.so.3.19.11                    [.] _dbus_message_loader_queue_messages
     0.00%  Xorg             i965_dri.so                             [.] 0x000000000016f27b
     0.00%  swapper          [kernel.kallsyms]                       [k] interrupt_entry
     0.00%  Xorg             libc-2.29.so                            [.] unlink_chunk.isra.0
     0.00%  iperf3           [kernel.kallsyms]                       [k] get_random_u32
     0.00%  Xorg             [kernel.kallsyms]                       [k] i915_gem_object_pin_map
     0.00%  xfwm4            [kernel.kallsyms]                       [k] ww_mutex_lock
     0.00%  Xorg             libGLdispatch.so.0.0.0                  [.] 0x0000000000041a84
     0.00%  ksoftirqd/3      [kernel.kallsyms]                       [k] ip6_dst_destroy
     0.00%  Xorg             libGLdispatch.so.0.0.0                  [.] _glapi_get_current
     0.00%  iperf3           [kernel.kallsyms]                       [k] drm_handle_vblank
     0.00%  xfwm4            [kernel.kallsyms]                       [k] entry_SYSCALL_64
     0.00%  swapper          [kernel.kallsyms]                       [k] nohz_balance_enter_idle
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000c2265
     0.00%  Xorg             i965_dri.so                             [.] 0x000000000021fd14
     0.00%  rcu_sched        [kernel.kallsyms]                       [k] rcu_gp_kthread
     0.00%  xfwm4            libglib-2.0.so.0.6000.6                 [.] g_hash_table_lookup
     0.00%  swapper          [kernel.kallsyms]                       [k] clockevents_program_event
     0.00%  iperf3           [kernel.kallsyms]                       [k] clockevents_program_event
     0.00%  swapper          [kernel.kallsyms]                       [k] sched_ttwu_pending
     0.00%  iperf3           [kernel.kallsyms]                       [k] find_next_bit
     0.00%  iperf3           [kernel.kallsyms]                       [k] put_prev_entity
     0.00%  Xorg             libpthread-2.29.so                      [.] __pthread_mutex_unlock_usercnt
     0.00%  panel-12-netloa  libglib-2.0.so.0.6000.6                 [.] g_hash_table_lookup
     0.00%  iperf3           [kernel.kallsyms]                       [k] __switch_to_asm
     0.00%  Xorg             [kernel.kallsyms]                       [k] __radix_tree_lookup
     0.00%  xfwm4            [kernel.kallsyms]                       [k] do_iter_readv_writev
     0.00%  iperf3           [kernel.kallsyms]                       [k] wl_dpc
     0.00%  Xorg             [kernel.kallsyms]                       [k] unix_write_space
     0.00%  swapper          [kernel.kallsyms]                       [k] tick_program_event
     0.00%  xfwm4            libc-2.29.so                            [.] __libc_calloc
     0.00%  swapper          [kernel.kallsyms]                       [k] rcu_eqs_exit.constprop.0
     0.00%  swapper          [kernel.kallsyms]                       [k] trigger_load_balance
     0.00%  swapper          [kernel.kallsyms]                       [k] need_update
     0.00%  xfwm4            [kernel.kallsyms]                       [k] drm_dev_enter
     0.00%  Xorg             [kernel.kallsyms]                       [k] sock_has_perm
     0.00%  swapper          [kernel.kallsyms]                       [k] scheduler_ipi
     0.00%  Xorg             [kernel.kallsyms]                       [k] __kmalloc_track_caller
     0.00%  swapper          [kernel.kallsyms]                       [k] get_next_timer_interrupt
     0.00%  iperf3           [kernel.kallsyms]                       [k] rcu_note_context_switch
     0.00%  swapper          [kernel.kallsyms]                       [k] cpu_load_update_active
     0.00%  iperf3           [kernel.kallsyms]                       [k] raise_softirq
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000e88ba
     0.00%  Xorg             Xorg                                    [.] PickPointer
     0.00%  ksoftirqd/3      [kernel.kallsyms]                       [k] dst_destroy
     0.00%  xfwm4            [kernel.kallsyms]                       [k] do_sys_poll
     0.00%  xfwm4            [kernel.kallsyms]                       [k] select_task_rq_fair
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000e2b58
     0.00%  iperf3           [kernel.kallsyms]                       [k] ip6_input_finish
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000c8605
     0.00%  iperf3           [kernel.kallsyms]                       [k] calc_global_load
     0.00%  xfwm4            [kernel.kallsyms]                       [k] avc_has_perm
     0.00%  xfwm4            [kernel.kallsyms]                       [k] _raw_spin_lock_irqsave
     0.00%  Xorg             Xorg                                    [.] 0x00000000001c0060
     0.00%  Xorg             Xorg                                    [.] TraverseTree
     0.00%  Xorg             [kernel.kallsyms]                       [k] timerqueue_add
     0.00%  xfce4-terminal   libvte-2.91.so.0.5600.3                 [.] 0x0000000000035a31
     0.00%  Xorg             libglamoregl.so                         [.] 0x0000000000011a30
     0.00%  Xorg             [kernel.kallsyms]                       [k] drm_atomic_set_crtc_for_plane
     0.00%  panel-10-diskpe  libglib-2.0.so.0.6000.6                 [.] g_io_channel_get_buffer_condition
     0.00%  iperf3           libiperf.so.0.0.0                       [.] 0x0000000000009234
     0.00%  Xorg             libc-2.29.so                            [.] __memmove_sse2_unaligned_erms
     0.00%  Xorg             [kernel.kallsyms]                       [k] unix_stream_read_generic
     0.00%  xfwm4            [kernel.kallsyms]                       [k] intel_engine_cmd_parser
     0.00%  xfwm4            [kernel.kallsyms]                       [k] unix_stream_read_generic
     0.00%  swapper          [kernel.kallsyms]                       [k] _raw_spin_lock_irq
     0.00%  iperf3           [kernel.kallsyms]                       [k] skb_free_head
     0.00%  Xorg             i965_dri.so                             [.] clock_gettime@plt
     0.00%  swapper          [kernel.kallsyms]                       [k] irqtime_account_process_tick.isra.0
     0.00%  swapper          [kernel.kallsyms]                       [k] can_stop_idle_tick.isra.0
     0.00%  Xorg             modesetting_drv.so                      [.] 0x000000000000cc40
     0.00%  Xorg             libc-2.29.so                            [.] cfree@GLIBC_2.2.5
     0.00%  ActorThread      dropbox                                 [.] tupledealloc
     0.00%  Xorg             [kernel.kallsyms]                       [k] __task_pid_nr_ns
     0.00%  Xorg             [kernel.kallsyms]                       [k] _raw_spin_lock
     0.00%  swapper          [kernel.kallsyms]                       [k] update_irq_load_avg
     0.00%  panel-9-cpugrap  libX11.so.6.3.0                         [.] XChangeGC
     0.00%  swapper          [kernel.kallsyms]                       [k] rcu_core
     0.00%  xfce4-terminal   libvte-2.91.so.0.5600.3                 [.] 0x0000000000026d30
     0.00%  Xorg             libpthread-2.29.so                      [.] __pthread_once
     0.00%  swapper          [kernel.kallsyms]                       [k] rb_erase
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000f7b23
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000e7e03
     0.00%  Xorg             [kernel.kallsyms]                       [k] avc_has_perm
     0.00%  swapper          [kernel.kallsyms]                       [k] tick_nohz_stop_tick
     0.00%  panel-12-netloa  libgobject-2.0.so.0.6000.6              [.] g_type_check_instance_is_a
     0.00%  xfwm4            [kernel.kallsyms]                       [k] __inode_security_revalidate
     0.00%  Xorg             [kernel.kallsyms]                       [k] __sched_text_start
     0.00%  xfce4-terminal   libcairo.so.2.11600.0                   [.] 0x00000000000219c7
     0.00%  xfce4-terminal   [kernel.kallsyms]                       [k] _raw_spin_unlock_irqrestore
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000e88a2
     0.00%  swapper          [kernel.kallsyms]                       [k] local_touch_nmi
     0.00%  xfwm4            [kernel.kallsyms]                       [k] kmem_cache_alloc_node
     0.00%  panel-9-cpugrap  libc-2.29.so                            [.] _int_free
     0.00%  Xorg             libgbm.so.1.0.0                         [.] gbm_bo_get_offset
     0.00%  xfce4-terminal   libcairo.so.2.11600.0                   [.] 0x0000000000046ce0
     0.00%  panel-9-cpugrap  libgdk-x11-2.0.so.0.2400.32             [.] gdk_gc_set_values
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000dc545
     0.00%  swapper          [kernel.kallsyms]                       [k] __hrtimer_next_event_base
     0.00%  Xorg             i965_dri.so                             [.] 0x000000000059c79f
     0.00%  iperf3           [kernel.kallsyms]                       [k] __wake_up_common
     0.00%  panel-9-cpugrap  libglib-2.0.so.0.6000.6                 [.] g_list_copy_deep
     0.00%  xfwm4            libGL.so.1.7.0                          [.] glBegin
     0.00%  xfce4-terminal   libcairo.so.2.11600.0                   [.] 0x0000000000046d2e
     0.00%  Xorg             nouveau_dri.so                          [.] 0x0000000000519ca3
     0.00%  Xorg             [kernel.kallsyms]                       [k] entry_SYSCALL_64
     0.00%  swapper          [kernel.kallsyms]                       [k] schedule_idle
     0.00%  Xorg             libEGL_mesa.so.0.0.0                    [.] 0x000000000000a834
     0.00%  panel-9-cpugrap  libgobject-2.0.so.0.6000.6              [.] 0x0000000000026d94
     0.00%  iperf3           [kernel.kallsyms]                       [k] swake_up_one
     0.00%  panel-9-cpugrap  [kernel.kallsyms]                       [k] unix_poll
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000ca05e
     0.00%  xfce4-terminal   libcairo.so.2.11600.0                   [.] cairo_device_acquire
     0.00%  swapper          [kernel.kallsyms]                       [k] irqtime_account_irq
     0.00%  Xorg             [vdso]                                  [.] __vdso_clock_gettime
     0.00%  Xorg             libpixman-1.so.0.38.0                   [.] pixman_region_translate
     0.00%  Xorg             libc-2.29.so                            [.] epoll_wait
     0.00%  xfwm4            libglib-2.0.so.0.6000.6                 [.] g_private_get
     0.00%  swapper          [kernel.kallsyms]                       [k] clear_buddies
     0.00%  Xorg             libglamoregl.so                         [.] 0x000000000000fac8
     0.00%  Xorg             Xorg                                    [.] xf86VTSwitchPending
     0.00%  ksoftirqd/1      [kernel.kallsyms]                       [k] __slab_free
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000dc3db
     0.00%  xfce4-terminal   libcairo.so.2.11600.0                   [.] 0x00000000000227eb
     0.00%  xfwm4            [kernel.kallsyms]                       [k] drm_ioctl
     0.00%  xfce4-terminal   libcairo.so.2.11600.0                   [.] 0x0000000000046bdf
     0.00%  iperf3           [kernel.kallsyms]                       [k] rcu_core
     0.00%  xfce4-terminal   libcairo.so.2.11600.0                   [.] 0x00000000000220fe
     0.00%  xfwm4            libc-2.29.so                            [.] __poll
     0.00%  xfwm4            i965_dri.so                             [.] 0x00000000005deaa7
     0.00%  ksoftirqd/0      [kernel.kallsyms]                       [k] rcu_core
     0.00%  iperf3           [kernel.kallsyms]                       [k] __accumulate_pelt_segments
     0.00%  Web Content      libxul.so                               [.] 0x0000000001802764
     0.00%  xfce4-terminal   libcairo.so.2.11600.0                   [.] 0x00000000000229be
     0.00%  rcu_sched        [kernel.kallsyms]                       [k] schedule_timeout
     0.00%  Xorg             [kernel.kallsyms]                       [k] __x86_indirect_thunk_rax
     0.00%  Xorg             nouveau_dri.so                          [.] 0x0000000000596e23
     0.00%  ksoftirqd/2      [kernel.kallsyms]                       [k] psi_task_change
     0.00%  Xorg             libpthread-2.29.so                      [.] pthread_self@GLIBC_2.2.5
     0.00%  Xorg             [kernel.kallsyms]                       [k] __fsnotify_parent
     0.00%  xfce4-terminal   libcairo.so.2.11600.0                   [.] cairo_set_scaled_font
     0.00%  iperf3           [kernel.kallsyms]                       [k] update_fast_timekeeper
     0.00%  iperf3           [kernel.kallsyms]                       [k] tick_do_update_jiffies64.part.0
     0.00%  xfce4-terminal   [kernel.kallsyms]                       [k] timerqueue_add
     0.00%  xfce4-terminal   libcairo.so.2.11600.0                   [.] 0x0000000000046b13
     0.00%  swapper          [kernel.kallsyms]                       [k] osl_pktdata
     0.00%  swapper          [kernel.kallsyms]                       [k] timer_clear_idle
     0.00%  xfce4-terminal   libXext.so.6.4.0                        [.] XSyncIntsToValue
     0.00%  Xorg             [kernel.kallsyms]                       [k] copy_user_generic_unrolled
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000e5943
     0.00%  xfwm4            [kernel.kallsyms]                       [k] pick_next_task_fair
     0.00%  swapper          [kernel.kallsyms]                       [k] leave_mm
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000001c066c
     0.00%  Xorg             [kernel.kallsyms]                       [k] hrtimer_start_range_ns
     0.00%  Xorg             Xorg                                    [.] 0x0000000000056058
     0.00%  Xorg             [kernel.kallsyms]                       [k] gen7_render_get_cmd_length_mask
     0.00%  Xorg             [kernel.kallsyms]                       [k] kvmalloc_node
     0.00%  iperf3           [kernel.kallsyms]                       [k] cpumask_next_and
     0.00%  iperf3           [kernel.kallsyms]                       [k] irq_exit
     0.00%  xfce4-terminal   [kernel.kallsyms]                       [k] copy_user_enhanced_fast_string
     0.00%  Xorg             libglamoregl.so                         [.] 0x0000000000014d85
     0.00%  Xorg             libEGL.so.1.1.0                         [.] 0x00000000000037f3
     0.00%  kworker/1:2-eve  [kernel.kallsyms]                       [k] update_load_avg
     0.00%  Xorg             libGLdispatch.so.0.0.0                  [.] 0x0000000000059100
     0.00%  Xorg             Xorg                                    [.] xf86Wakeup
     0.00%  xfwm4            xfwm4                                   [.] 0x000000000001bba9
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000005d7033
     0.00%  iperf3           [kernel.kallsyms]                       [k] cgroup_rstat_updated
     0.00%  iperf3           [kernel.kallsyms]                       [k] intel_engine_breadcrumbs_irq
     0.00%  ksoftirqd/1      [kernel.kallsyms]                       [k] rcu_core
     0.00%  Xorg             Xorg                                    [.] 0x00000000001403e3
     0.00%  rcu_sched        [kernel.kallsyms]                       [k] __sched_text_start
     0.00%  Xorg             [kernel.kallsyms]                       [k] get_mem_cgroup_from_mm
     0.00%  Xorg             i965_dri.so                             [.] 0x0000000000217343
     0.00%  swapper          [kernel.kallsyms]                       [k] rebalance_domains
     0.00%  Xorg             i965_dri.so                             [.] 0x000000000016f425
     0.00%  Xorg             i965_dri.so                             [.] 0x000000000036057c
     0.00%  xfce4-terminal   libcairo.so.2.11600.0                   [.] 0x0000000000046944
     0.00%  swapper          [kernel.kallsyms]                       [k] cpuidle_select
     0.00%  xfwm4            libGLX_mesa.so.0.0.0                    [.] glPrimitiveBoundingBox
     0.00%  iperf3           [kernel.kallsyms]                       [k] sched_clock_tick
     0.00%  swapper          [kernel.kallsyms]                       [k] quiet_vmstat
     0.00%  kworker/0:0-eve  [kernel.kallsyms]                       [k] strscpy
     0.00%  Xorg             [kernel.kallsyms]                       [k] __x64_sys_epoll_wait
     0.00%  Xorg             [kernel.kallsyms]                       [k] deactivate_task
     0.00%  Xorg             i965_dri.so                             [.] 0x000000000022fad8
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000ef163
     0.00%  Xorg             i965_dri.so                             [.] 0x000000000059a043
     0.00%  Xorg             [kernel.kallsyms]                       [k] memcg_kmem_get_cache
     0.00%  Xorg             [kernel.kallsyms]                       [k] hrtimer_active
     0.00%  Xorg             Xorg                                    [.] 0x000000000005cdaa
     0.00%  Xorg             [kernel.kallsyms]                       [k] drm_atomic_helper_check_modeset
     0.00%  kworker/u16:1-i  [kernel.kallsyms]                       [k] __sched_text_start
     0.00%  Xorg             i965_dri.so                             [.] 0x0000000000207698
     0.00%  Xorg             i965_dri.so                             [.] 0x000000000035d2e7
     0.00%  Xorg             i965_dri.so                             [.] 0x0000000000225c2c
     0.00%  migration/3      [kernel.kallsyms]                       [k] __update_idle_core
     0.00%  Xorg             libpthread-2.29.so                      [.] __libc_recvmsg
     0.00%  Xorg             libc-2.29.so                            [.] __GI___strlen_sse2
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000001cd5db
     0.00%  ActorThread      dropbox                                 [.] PyDict_SetItem
     0.00%  Xorg             i965_dri.so                             [.] free@plt
     0.00%  swapper          [kernel.kallsyms]                       [k] intel_pstate_update_util
     0.00%  ksoftirqd/0      [kernel.kallsyms]                       [k] __slab_free
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000001cd77d
     0.00%  Web Content      libxul.so                               [.] 0x000000000096f9b8
     0.00%  Xorg             libpthread-2.29.so                      [.] __pthread_disable_asynccancel
     0.00%  xfce4-terminal   [kernel.kallsyms]                       [k] psi_task_change
     0.00%  iperf3           [kernel.kallsyms]                       [k] __hrtimer_get_next_event
     0.00%  Xorg             [kernel.kallsyms]                       [k] drm_get_last_vbltimestamp
     0.00%  Xorg             libglamoregl.so                         [.] 0x000000000000a51b
     0.00%  iperf3           [kernel.kallsyms]                       [k] handle_irq
     0.00%  ksoftirqd/2      [kernel.kallsyms]                       [k] kmem_cache_free
     0.00%  Xorg             [kernel.kallsyms]                       [k] reweight_entity
     0.00%  iperf3           [kernel.kallsyms]                       [k] account_system_index_time
     0.00%  xfce4-terminal   libvte-2.91.so.0.5600.3                 [.] 0x0000000000034c6a
     0.00%  Xorg             [kernel.kallsyms]                       [k] drm_modeset_acquire_init
     0.00%  iperf3           [kernel.kallsyms]                       [k] tcp_sndbuf_expand
     0.00%  Xorg             [kernel.kallsyms]                       [k] __srcu_read_unlock
     0.00%  xfce4-terminal   libcairo.so.2.11600.0                   [.] 0x00000000000a17bd
     0.00%  Web Content      libxul.so                               [.] 0x0000000001160038
     0.00%  Xorg             [kernel.kallsyms]                       [k] drm_mode_get_hv_timing
     0.00%  Xorg             i965_dri.so                             [.] 0x000000000021e760
     0.00%  xfwm4            libglib-2.0.so.0.6000.6                 [.] g_slist_copy_deep
     0.00%  swapper          [kernel.kallsyms]                       [k] __remove_hrtimer
     0.00%  rcu_sched        [kernel.kallsyms]                       [k] dequeue_task_fair
     0.00%  panel-12-netloa  libc-2.29.so                            [.] __vfscanf_internal
     0.00%  Xorg             [kernel.kallsyms]                       [k] do_iter_readv_writev
     0.00%  xfce4-terminal   libcairo.so.2.11600.0                   [.] 0x000000000002173b
     0.00%  Xorg             Xorg                                    [.] 0x00000000001bfd60
     0.00%  iperf3           libiperf.so.0.0.0                       [.] 0x00000000000095c4
     0.00%  Xorg             Xorg                                    [.] in_input_thread
     0.00%  xfwm4            [kernel.kallsyms]                       [k] __update_load_avg_cfs_rq
     0.00%  Xorg             [kernel.kallsyms]                       [k] drm_dbg
     0.00%  xfce4-terminal   libcairo.so.2.11600.0                   [.] 0x0000000000046c0b
     0.00%  xfce4-terminal   libvte-2.91.so.0.5600.3                 [.] 0x0000000000035bfe
     0.00%  Web Content      libxul.so                               [.] 0x0000000000955d43
     0.00%  Xorg             libpixman-1.so.0.38.0                   [.] pixman_region_init_rect
     0.00%  Xorg             [kernel.kallsyms]                       [k] __handle_mm_fault
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000df193
     0.00%  iperf3           [kernel.kallsyms]                       [k] handle_edge_irq
     0.00%  xfce4-terminal   libcairo.so.2.11600.0                   [.] 0x0000000000030760
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000bd743
     0.00%  Xorg             libglamoregl.so                         [.] 0x000000000000fae7
     0.00%  Web Content      libxul.so                               [.] __tls_get_addr@plt
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000e8919
     0.00%  xfce4-terminal   libcairo.so.2.11600.0                   [.] 0x0000000000021500
     0.00%  Web Content      libxul.so                               [.] 0x000000000114c7b6
     0.00%  Xorg             libglamoregl.so                         [.] 0x000000000001b063
     0.00%  Xorg             [kernel.kallsyms]                       [k] drm_atomic_helper_check_planes
     0.00%  xfce4-terminal   libc-2.29.so                            [.] __strchr_sse2
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000e8c71
     0.00%  Xorg             [kernel.kallsyms]                       [k] __pm_runtime_resume
     0.00%  Xorg             [kernel.kallsyms]                       [k] tick_program_event
     0.00%  Xorg             [kernel.kallsyms]                       [k] do_setitimer
     0.00%  Xorg             libglapi.so.0.0.0                       [.] 0x000000000000ce07
     0.00%  Xorg             i965_dri.so                             [.] 0x0000000000215616
     0.00%  Xorg             [kernel.kallsyms]                       [k] ktime_get_mono_fast_ns
     0.00%  Xorg             Xorg                                    [.] miSyncTriggerFence
     0.00%  Xorg             i965_dri.so                             [.] drmCommandNone@plt
     0.00%  firefox          [kernel.kallsyms]                       [k] syscall_return_via_sysret
     0.00%  Xorg             [kernel.kallsyms]                       [k] selinux_socket_recvmsg
     0.00%  xfce4-terminal   libcairo.so.2.11600.0                   [.] 0x00000000000794a6
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000cc163
     0.00%  ksoftirqd/1      [kernel.kallsyms]                       [k] __softirqentry_text_start
     0.00%  Web Content      libxul.so                               [.] 0x00000000040d63b0
     0.00%  Xorg             nouveau_dri.so                          [.] 0x000000000031ccab
     0.00%  ActorThread      [kernel.kallsyms]                       [k] syscall_return_via_sysret
     0.00%  Xorg             i965_dri.so                             [.] 0x000000000059c557
     0.00%  xfce4-terminal   libcairo.so.2.11600.0                   [.] 0x000000000009d372
     0.00%  Xorg             i965_dri.so                             [.] 0x0000000000204f80
     0.00%  xfwm4            [kernel.kallsyms]                       [k] __wake_up_common
     0.00%  Xorg             i965_dri.so                             [.] _glapi_check_multithread@plt
     0.00%  rcu_sched        [kernel.kallsyms]                       [k] force_qs_rnp
     0.00%  Xorg             libdrm_nouveau.so.2.0.0                 [.] nouveau_pushbuf_data
     0.00%  iperf3           libiperf.so.0.0.0                       [.] 0x00000000000093c4
     0.00%  Xorg             Xorg                                    [.] ChangePicture
     0.00%  ksoftirqd/0      [kernel.kallsyms]                       [k] __softirqentry_text_start
     0.00%  xfce4-terminal   [kernel.kallsyms]                       [k] update_curr
     0.00%  Xorg             i965_dri.so                             [.] 0x0000000000234263
     0.00%  Xorg             modesetting_drv.so                      [.] 0x000000000000c7da
     0.00%  Xorg             [kernel.kallsyms]                       [k] semaphore_notify
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000cc9f3
     0.00%  Xorg             i965_dri.so                             [.] 0x0000000000360396
     0.00%  xfwm4            [kernel.kallsyms]                       [k] update_nohz_stats
     0.00%  swapper          [kernel.kallsyms]                       [k] __next_timer_interrupt
     0.00%  xfwm4            [kernel.kallsyms]                       [k] update_curr
     0.00%  rcu_sched        [kernel.kallsyms]                       [k] dequeue_entity
     0.00%  kworker/u16:1-i  [kernel.kallsyms]                       [k] __update_load_avg_cfs_rq
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000e3a97
     0.00%  xfwm4            libglib-2.0.so.0.6000.6                 [.] 0x000000000003d860
     0.00%  xfwm4            [kernel.kallsyms]                       [k] i915_gem_object_wait_reservation
     0.00%  Xorg             i965_dri.so                             [.] 0x0000000000243c26
     0.00%  Xorg             modesetting_drv.so                      [.] 0x000000000000c900
     0.00%  Web Content      libxul.so                               [.] 0x0000000003f5ff1c
     0.00%  xfce4-terminal   libc-2.29.so                            [.] _int_free
     0.00%  ksoftirqd/1      [kernel.kallsyms]                       [k] __list_add_valid
     0.00%  iperf3           [kernel.kallsyms]                       [k] ttwu_do_wakeup
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000e3ad3
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000e0659
     0.00%  Xorg             libglapi.so.0.0.0                       [.] 0x000000000000f027
     0.00%  Xorg             Xorg                                    [.] GetScratchGC
     0.00%  xfce4-terminal   libcairo.so.2.11600.0                   [.] cairo_set_line_width
     0.00%  Xorg             [kernel.kallsyms]                       [k] irqtime_account_irq
     0.00%  Xorg             i965_dri.so                             [.] 0x000000000059a1b2
     0.00%  Xorg             libEGL_mesa.so.0.0.0                    [.] 0x000000000000bd00
     0.00%  Xorg             [kernel.kallsyms]                       [k] pick_next_task_fair
     0.00%  Xorg             i965_dri.so                             [.] 0x000000000023b56f
     0.00%  swapper          [kernel.kallsyms]                       [k] nmi
     0.00%  Xorg             [kernel.kallsyms]                       [k] reservation_object_get_fences_rcu
     0.00%  Web Content      [kernel.kallsyms]                       [k] ___sys_recvmsg
     0.00%  Xorg             Xorg                                    [.] 0x000000000013c510
     0.00%  Xorg             [kernel.kallsyms]                       [k] drm_poll
     0.00%  Xorg             Xorg                                    [.] 0x00000000001866b0
     0.00%  xfwm4            libGLX.so.0.0.0                         [.] 0x000000000000abd2
     0.00%  Xorg             [kernel.kallsyms]                       [k] __acct_update_integrals
     0.00%  xfwm4            [kernel.kallsyms]                       [k] security_file_ioctl
     0.00%  Web Content      libxul.so                               [.] 0x00000000009810f3
     0.00%  Xorg             libdrm_nouveau.so.2.0.0                 [.] 0x00000000000047c0
     0.00%  Xorg             [kernel.kallsyms]                       [k] maybe_add_creds
     0.00%  Xorg             [kernel.kallsyms]                       [k] ilk_compute_pipe_wm
     0.00%  iperf3           [kernel.kallsyms]                       [k] si_gpioouten
     0.00%  Xorg             [kernel.kallsyms]                       [k] perf_event_task_tick
     0.00%  Web Content      libxul.so                               [.] 0x000000000114c7ca
     0.00%  xfwm4            [kernel.kallsyms]                       [k] i915_vma_instance
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000cc53e
     0.00%  xfwm4            libc-2.29.so                            [.] _int_malloc
     0.00%  Xorg             libc-2.29.so                            [.] _IO_default_xsputn
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000cba30
     0.00%  panel-7-systeml  libc-2.29.so                            [.] unlink_chunk.isra.0
     0.00%  xfwm4            xfwm4                                   [.] 0x000000000001b8cb
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000001c54bd
     0.00%  Xorg             [kernel.kallsyms]                       [k] drm_crtc_from_index
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000001fb5c8
     0.00%  xfwm4            [kernel.kallsyms]                       [k] __virt_addr_valid
     0.00%  Web Content      libxul.so                               [.] 0x00000000008faf2d
     0.00%  xfwm4            libglib-2.0.so.0.6000.6                 [.] g_slice_alloc
     0.00%  xfwm4            [kernel.kallsyms]                       [k] update_blocked_averages
     0.00%  ksoftirqd/3      [kernel.kallsyms]                       [k] rcu_core
     0.00%  kworker/1:2-eve  [kernel.kallsyms]                       [k] schedule
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000e2c7e
     0.00%  Xorg             libglamoregl.so                         [.] 0x0000000000007ed4
     0.00%  Web Content      libxul.so                               [.] 0x0000000004083440
     0.00%  xfce4-terminal   libcairo.so.2.11600.0                   [.] 0x0000000000027c1a
     0.00%  Web Content      libxul.so                               [.] 0x0000000001106b89
     0.00%  xfwm4            i965_dri.so                             [.] 0x00000000000d1bfc
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000caabf
     0.00%  Xorg             Xorg                                    [.] 0x000000000003f443
     0.00%  Xorg             libdrm.so.2.4.0                         [.] 0x0000000000004913
     0.00%  Xorg             Xorg                                    [.] BlockHandler
     0.00%  Xorg             i965_dri.so                             [.] 0x00000000000e39ce
     0.00%  firefox          firefox                                 [.] 0x0000000000009d8f
     0.00%  Xorg             [kernel.kallsyms]                       [k] shmem_getpage_gfp
     0.00%  xfwm4            [kernel.kallsyms]                       [k] iov_iter_init
